3000 6000
0 2851 269
0 2169 2769
1 1017 1821
0 2925 1394
1 129 1720
0 1478 410
1 1437 935
0 1509 1253
0 2970 686
0 1733 2494
0 198 2762
0 1779 2125
0 2820 2346
0 842 1360
0 851 2610
1 912 2826
1 272 2655
0 1766 1392
0 1816 2699
1 1286 193
1 1546 2066
0 1100 2285
1 296 2100
0 1012 1717
1 2543 2881
0 714 840
0 2311 1151
0 1236 2364
0 2793 542
0 1060 623
0 820 66
0 1106 2524
0 920 1730
0 1115 993
0 1515 1608
0 194 2616
0 404 1414
0 1084 72
1 1416 840
0 2162 1240
0 1212 2599
1 188 1254
1 1971 907
1 1874 234
0 1716 2700
0 226 2365
0 895 2113
1 789 1870
1 2458 2136
0 946 1820
0 206 2270
1 1733 2494
0 1683 2910
0 2318 2743
0 170 907
0 2026 174
1 1431 613
1 829 231
0 452 1972
0 1619 2104
0 2921 727
1 265 1985
0 187 2322
0 2408 603
0 988 725
0 2107 1790
0 251 2990
1 422 1565
1 1716 2700
0 2273 2597
1 644 1005
0 2062 2386
0 2004 2412
1 2339 200
1 1856 945
0 1553 2271
1 301 1490
1 205 2601
0 2198 1484
1 574 486
0 796 1515
0 1989 48
1 1367 1572
0 253 2738
0 2976 2032
0 539 2692
1 489 1056
0 1844 1898
0 256 187
0 701 1206
1 1554 1762
0 1023 2379
1 2543 254
1 2453 1335
0 1870 2409
0 965 1489
0 868 1304
0 2602 945
0 207 1984
0 283 881
0 2813 722
0 2819 2753
1 2813 2303
1 26 162
0 2135 2969
0 2212 1269
0 1024 2073
0 2958 2854
0 1353 2891
1 514 2903
0 1469 2045
1 1954 899
1 1803 494
1 2666 2775
0 425 1000
0 32 1653
1 1572 916
0 2285 15
0 1735 258
0 242 2302
1 226 2365
1 2533 1616
1 1989 48
0 527 1692
0 2576 2345
0 1459 2907
1 1896 1579
0 736 2331
0 2311 476
0 296 801
0 575 820
0 2634 566
0 290 223
1 32 743
1 1553 2271
1 652 1746
1 438 1065
0 2132 1380
1 1010 870
1 2976 2032
0 17 1025
1 2652 251
0 2228 2873
0 2890 1711
1 2087 330
1 868 1304
0 977 2436
0 344 551
0 2982 1770
0 2953 210
0 620 2416
1 2754 2245
0 1304 2631
0 2635 1874
1 377 124
0 598 294
0 1020 1944
1 290 223
0 2757 2886
1 198 2762
0 2769 1586
0 706 228
0 891 134
0 1335 2954
1 1578 1452
1 2733 507
0 1168 2186
0 1262 976
0 1192 2964
0 938 2614
1 849 578
0 1675 1611
0 691 1895
0 1463 2638
0 2609 2156
0 279 213
0 2302 2054
1 2958 2854
0 2096 2309
1 2348 126
0 1865 1465
0 413 651
0 2021 71
0 395 2430
0 1975 2464
0 252 1146
1 575 820
0 1173 1552
0 1406 322
0 2121 2466
0 1692 2316
0 69 2253
0 184 1815
0 363 595
0 14 679
1 2515 2711
1 178 1566
0 2636 1296
0 1727 1021
0 1685 1032
1 1766 1392
0 2346 692
1 208 39
1 2197 249
1 2417 1127
0 1469 1422
0 2394 2104
0 2385 1626
1 2780 2231
1 425 1000
1 1459 2907
0 455 1420
0 40 2503
1 17 1025
0 1750 2966
0 1138 1228
0 1931 371
0 690 1174
1 1497 2925
1 1205 31
1 2808 749
0 1226 408
0 2468 1041
0 2824 2548
0 1537 761
0 29 435
1 2622 2026
1 1106 2524
0 2445 1800
0 834 1333
0 2308 1866
0 792 10
0 2886 652
0 1338 2994
0 801 2046
0 1427 750
0 1768 1033
0 2562 1894
0 466 2933
0 1406 748
0 789 2520
0 2760 826
0 1103 2753
0 216 767
0 571 2218
0 1258 983
0 486 1468
1 2636 1296
1 1906 991
0 2995 2507
0 1886 2052
1 302 1577
1 624 2424
0 2378 2266
0 2991 813
0 597 1560
1 782 2121
0 2943 744
1 421 2216
0 150 692
1 2242 816
0 2817 1889
0 1292 78
0 2095 1701
0 1702 1385
0 481 2713
0 1335 970
0 2647 2530
0 1128 665
1 1348 2346
0 2453 616
1 533 1082
0 2919 1774
0 1656 674
0 2775 1214
0 473 18
1 2231 2545
1 29 435
0 725 2846
1 1103 993
1 988 725
1 1180 2267
0 893 1117
0 1163 2769
0 2931 2443
1 2609 2156
0 2310 2335
1 1870 2409
0 1547 178
0 289 1959
0 1055 503
0 1245 37
1 1776 45
0 718 2742
0 501 16
1 801 2046
0 929 1632
0 1217 356
0 1656 1467
1 2557 1521
0 811 2881
0 1062 865
0 2147 2800
1 1292 78
0 945 607
1 796 1515
0 1451 2392
1 2519 1713
0 169 1427
0 2379 1090
1 1426 1090
1 2757 2886
0 2502 2832
0 225 1807
0 2472 1013
0 2391 719
1 647 3000
1 1427 750
0 2707 668
0 25 744
0 609 186
1 89 1504
0 828 2242
1 1932 1060
0 1761 2639
0 908 1802
0 929 244
0 2823 2351
0 2303 1365
1 1173 1552
0 2460 2419
0 1946 351
0 1523 398
1 2445 1800
0 2756 1974
0 2062 2220
1 1756 1389
1 1147 2583
0 2647 2467
0 1720 899
0 2176 702
0 2378 1304
0 576 311
0 2599 1412
1 1828 2506
0 1967 638
0 1580 2901
1 1321 1659
0 437 2484
0 742 1089
0 1001 2924
0 1655 2382
0 1960 1946
1 1714 1827
0 1014 2947
0 2246 55
0 2153 2226
1 2011 2587
0 1868 1849
0 1275 2648
0 1479 225
0 2611 938
0 146 2938
0 608 1406
1 1734 166
1 296 801
0 518 1208
0 103 2186
1 2593 1485
0 2791 1571
0 333 1957
0 2605 1461
1 2819 2753
0 2222 1778
0 805 404
1 2216 2517
0 107 2890
0 292 2196
0 466 541
1 2101 1917
0 1902 1183
0 2347 1240
0 2145 2500
0 216 1651
0 2391 108
0 555 1854
1 2982 1770
0 991 1555
0 537 2704
1 1217 356
0 231 1421
0 2804 2949
0 1309 874
0 818 1489
1 1075 1423
1 2273 2597
1 2026 174
1 833 2109
1 2255 622
0 2146 584
0 2911 1842
1 789 2520
0 2932 803
1 1020 1944
0 2028 2872
1 1169 1413
1 1000 1112
0 528 1627
0 2577 1228
0 469 732
0 1279 2230
1 2581 1050
0 2350 2867
0 387 2982
0 2887 2500
0 2211 1802
0 2895 1564
0 2456 1995
1 1138 1228
0 66 1045
0 224 792
0 950 1388
0 1420 2649
1 1290 1386
1 2176 340
0 2810 55
1 2245 1617
0 1511 2563
1 1024 2073
1 2121 2466
0 374 584
1 455 1420
0 1986 1860
0 471 2736
0 2194 254
1 220 1859
1 1593 2663
1 2647 2530
0 1860 1248
0 2342 1765
1 1279 1901
0 1116 2061
0 1115 98
0 2995 2244
1 2793 542
0 554 921
0 1656 2189
0 2675 2049
0 1195 258
0 1467 1214
0 1273 1438
0 2358 1688
1 2827 187
0 398 1527
0 1530 2886
0 2485 1983
1 1720 1665
0 1779 520
1 2953 210
1 2153 2226
0 23 2552
0 1490 1562
0 1805 1643
1 2266 1689
1 1735 258
0 781 2867
0 555 338
1 1803 2416
0 752 2543
0 2225 274
1 185 669
0 733 1978
0 2633 2086
0 365 2633
0 29 309
0 706 2201
0 452 2120
0 2805 288
0 1610 810
0 2535 2496
0 1432 861
0 1340 2754
0 466 961
0 2788 232
0 22 1506
0 2848 2000
0 2922 1111
1 2682 782
1 295 1327
0 2595 2521
1 1275 2648
0 110 2722
0 2848 2963
0 1006 1218
0 2138 613
0 2018 1455
0 218 1102
1 2047 357
1 179 2041
1 489 2737
0 283 65
0 1491 1015
0 647 2959
1 845 1333
1 2995 2507
0 2858 2962
0 2181 818
0 2614 1963
0 550 422
1 1001 2924
0 2455 1595
1 187 2322
0 745 190
0 1085 342
0 2143 2217
0 1075 2655
0 1015 482
1 2175 517
0 1420 1685
0 2377 810
0 2061 311
0 78 924
0 1935 816
0 415 2580
0 1666 1976
1 620 2416
0 2985 1761
1 2074 134
0 2104 2922
0 946 150
0 2732 66
0 1106 1172
1 1478 410
1 2634 566
0 2705 1615
0 1087 2160
0 2301 2635
0 1162 20
0 1867 1408
0 1256 2363
0 235 1375
0 1356 394
0 191 259
0 2447 1836
0 1187 755
0 1642 1
1 169 1427
0 2663 216
1 1338 2994
0 375 1955
0 344 1272
0 1827 201
0 1760 822
0 1033 1130
0 671 2432
0 241 2712
0 2687 2856
1 1805 1643
0 619 187
0 1720 2926
0 2110 651
0 312 2646
1 2342 2697
0 374 2466
1 251 2990
1 1741 2863
0 2052 1702
1 1827 201
0 2571 355
0 879 503
0 1939 465
1 2760 826
0 211 358
0 2452 2158
1 2008 2164
0 148 887
0 2263 963
0 267 2407
1 1420 1685
0 2999 1371
0 2653 2909
0 2004 2848
0 845 2330
1 2033 360
1 1349 2026
1 2707 668
0 1572 1678
1 555 1854
0 2634 237
0 2734 2447
1 1610 810
0 2070 1795
0 2221 795
0 423 1598
1 2663 216
0 191 1455
1 1192 2964
0 1115 1592
1 2826 2804
0 42 2318
1 1277 280
0 2536 2909
0 1725 1786
1 605 2595
1 1597 846
0 2117 2105
0 236 2797
0 2089 2271
0 856 1078
1 252 1146
0 420 1000
1 2359 1286
0 977 1658
1 1886 2052
1 693 1458
0 1736 1
0 912 619
1 2817 1889
0 1079 1984
1 2413 1280
0 2839 362
0 487 2277
0 2194 2842
1 2162 1240
1 2634 237
0 1096 2489
0 2990 2945
0 11 1913
0 1897 2021
0 2832 2624
0 650 1537
0 1979 1133
0 2686 1144
0 648 1873
1 614 2154
0 1559 2028
0 1867 2038
0 3 165
0 416 747
0 1569 1934
0 1082 52
0 1364 175
0 2428 656
0 406 2272
1 743 1069
0 1495 101
0 765 435
0 1495 817
0 1221 2359
0 1661 978
0 1211 2776
0 430 1812
1 1804 178
0 398 1992
0 1916 898
1 946 1820
0 1022 1242
0 1273 1172
0 330 648
0 1156 2775
0 2449 1419
0 471 1907
0 2967 2852
1 2147 2800
0 2411 2827
1 2311 476
0 1106 2223
1 312 2646
0 1034 2195
0 1767 1916
1 618 1974
0 2867 2549
0 1335 1868
0 2513 1057
1 1457 814
0 2696 472
0 1237 962
0 1291 1714
1 2931 2443
1 195 2137
0 2718 2733
1 473 18
0 1406 1214
0 625 526
1 271 2243
0 2617 2326
0 2006 2387
1 836 2276
1 2264 997
0 1619 351
1 2021 71
0 113 2030
1 191 1455
1 492 1381
0 1157 1758
1 920 1730
0 1648 2369
0 1258 1955
1 403 2454
1 365 2633
1 282 2822
1 2283 2009
0 1900 319
0 1840 1264
0 374 70
0 1387 1609
0 100 1720
0 1357 2293
1 233 2131
0 2165 1456
0 868 1560
0 882 2631
0 2552 2390
0 2709 903
0 1317 2889
1 40 79
0 429 1821
1 466 961
1 94 2657
1 216 1651
0 2445 147
0 2611 156
1 1432 861
0 2860 1785
0 2387 691
0 272 2325
1 946 150
1 2687 2856
0 651 1478
0 253 498
0 1424 2205
0 838 1613
1 2198 1484
1 1967 638
0 1832 816
0 107 2098
1 707 1928
0 2830 728
0 2390 786
1 2895 1564
0 1769 1
1 544 400
0 2685 1080
1 2421 1125
0 1647 2760
1 2804 2949
1 1221 2359
0 1399 2027
0 2921 2616
1 717 1781
0 2899 996
0 1852 2304
1 2438 260
0 1510 2689
1 1971 2578
0 256 2144
0 178 1133
0 2842 1749
1 2016 2970
0 211 1380
1 1289 449
0 744 488
1 2985 1761
0 233 349
0 1733 2144
1 401 2900
1 2106 1314
0 1331 2932
0 1377 1866
0 822 197
1 981 1059
0 1525 2820
0 394 482
0 2819 145
0 1236 2832
0 527 819
1 2938 2954
0 647 1818
1 2371 637
1 2905 725
1 476 2759
0 2833 825
0 1889 1302
0 132 511
1 1825 1365
0 2659 2011
0 1348 1003
0 1646 1130
0 2678 2303
0 1683 580
0 429 920
1 1023 2379
0 2463 2580
0 2186 1677
1 2970 686
0 2947 400
0 562 1171
0 1667 2905
0 1877 255
0 1329 2487
0 334 272
0 2974 578
0 1995 92
0 2371 261
0 31 2661
0 2959 407
0 1177 333
1 736 2331
0 1146 2458
1 1769 1
0 530 948
1 1012 1717
0 1022 2468
0 470 2695
0 1972 606
0 966 1074
0 860 831
0 1902 444
0 1106 947
1 2610 1432
0 1252 1780
0 2355 1004
1 2734 2447
0 186 83
1 1972 626
0 643 2385
1 527 819
0 803 651
1 292 2196
0 2312 2787
0 1072 1081
0 1586 156
0 2223 1207
1 1774 1143
0 531 2867
1 1986 1860
1 635 1693
1 78 924
0 2387 991
0 209 778
1 471 1907
0 1412 747
1 2169 2769
0 289 2395
0 2348 86
0 2936 2164
0 650 60
0 1793 1205
0 1528 1693
0 1872 1945
1 554 2064
0 283 286
0 1592 398
0 688 975
0 2912 2839
1 1817 376
1 834 1333
0 2127 497
1 2920 437
1 1517 1477
1 215 2082
0 1043 1404
0 112 2512
0 110 2641
0 846 1550
0 2703 1177
0 1291 2878
0 1118 637
1 981 2984
0 2611 2421
0 2652 216
0 1720 665
1 2921 727
0 799 1833
0 1742 650
0 2629 293
0 1008 1169
0 1693 2416
0 2236 2816
0 1019 594
1 2986 760
0 204 2418
0 1989 1465
1 2468 1041
0 650 2942
1 2378 1304
1 1420 2649
0 1223 129
0 2509 1469
0 1248 2760
0 2878 918
0 972 2651
0 1904 2949
0 2178 2567
0 847 2265
0 478 2377
0 539 804
0 2189 152
0 1774 706
1 688 975
1 1290 1795
1 929 244
1 1406 204
0 1085 1647
0 1709 13
1 2820 2346
0 513 591
0 443 2806
0 1099 559
0 593 1692
1 531 2867
0 2589 2431
1 1011 1926
1 236 2797
1 1538 1621
0 2653 419
0 564 394
0 842 33
0 2838 216
0 263 2791
1 1656 1467
0 125 2415
0 161 1275
0 462 2204
0 1562 1164
1 1961 1852
0 1625 198
1 1135 939
0 1359 2866
0 2690 1809
0 2091 2182
0 2053 2829
0 2918 1616
0 2218 2784
1 423 1598
1 1647 2760
1 2591 1534
0 1445 54
0 1944 258
0 1946 1579
0 1030 1582
0 1909 2144
0 1402 1823
0 200 357
0 116 2262
0 2181 1831
1 154 998
0 2024 2370
0 1154 405
0 456 1924
1 597 1560
0 2225 1291
0 1589 2227
0 2089 2461
0 389 1596
1 1760 822
0 576 1614
0 799 2466
0 2144 2991
1 178 1133
0 913 2851
1 2813 722
0 1730 1145
1 1675 1611
0 622 70
1 2882 1298
0 33 2203
0 80 1320
0 1243 586
0 1204 785
0 1132 2061
0 1292 2579
1 1164 1914
1 820 66
1 1279 144
0 417 232
0 2395 611
1 1803 1635
1 2571 355
0 19 66
0 343 2024
0 880 1417
0 2094 2457
0 1711 1228
1 845 2330
0 1390 1521
0 257 1196
0 2605 1918
1 1654 2759
0 1211 1227
1 1730 1145
0 1209 751
0 2117 2501
0 1701 1326
0 1580 2610
0 2386 2380
0 1730 1003
0 2867 2302
1 6 699
0 2109 1090
0 798 2521
1 929 1632
0 2013 926
0 2097 2047
1 110 2722
1 11 1913
0 975 2212
1 2930 340
1 2690 1809
0 1095 278
0 565 2791
0 2902 365
1 2217 526
0 1828 458
1 2851 269
0 1002 1134
0 397 2929
1 1689 1445
0 2873 1325
1 1154 405
1 701 1206
1 2689 2501
0 1894 1914
0 1840 2496
0 1957 916
0 2637 2969
0 2763 2502
1 1655 2382
1 470 2695
0 1768 2357
0 1353 2211
1 1946 1579
0 2687 2316
0 2555 1179
1 2107 1790
1 2018 1455
0 1542 2629
1 194 2616
0 982 734
0 2790 2513
0 2786 2609
1 1872 1945
1 1831 477
1 113 2030
1 1764 958
0 2037 2764
0 2797 2026
1 2308 1866
0 102 352
1 2919 1774
0 198 2984
0 2908 502
1 1646 1130
0 2727 2677
0 968 935
0 2702 2140
0 1749 2912
1 303 2818
0 1641 1821
1 1262 1342
1 762 1658
0 1429 77
1 904 2614
0 1369 1040
1 494 473
0 797 2824
0 2481 2403
0 2861 1794
1 486 1468
0 503 877
1 2181 818
0 1658 2371
1 1867 1408
0 424 393
0 2339 846
1 2211 425
1 879 1895
0 2998 280
1 2087 2775
0 2688 2974
0 1237 2087
0 699 1295
1 2224 369
0 81 1312
0 2382 1300
0 917 2298
0 333 1658
0 2694 615
0 594 711
1 1146 2458
1 2146 584
1 1998 1689
1 2899 996
1 283 881
1 908 1802
0 2684 1880
0 760 1989
0 310 1150
0 2542 1072
0 589 289
0 394 1264
0 1396 617
1 2834 2730
0 838 2128
0 52 1671
0 2216 2597
1 2070 1795
1 2911 1842
0 2653 1315
0 10 2
0 1902 439
1 1909 2144
1 1100 2285
0 1187 1743
1 31 2661
0 418 850
0 790 1373
1 760 1989
0 2118 2244
1 1490 1562
0 1929 754
1 2138 613
0 57 401
1 429 1821
0 650 1612
1 184 1815
0 40 2005
1 1377 1866
0 649 971
0 1796 1327
1 2491 2371
0 990 2578
1 38 1637
0 1812 1341
0 32 2152
1 2653 2909
0 1514 1264
1 2411 2827
1 2387 691
0 67 59
0 179 407
1 2223 1207
1 964 1010
0 788 1990
1 2310 2335
1 527 1692
