1000 2000
1 441 359
0 881 227
1 112 598
0 144 325
1 840 915
0 222 900
1 925 161
0 656 107
0 237 711
0 715 642
1 881 227
0 971 172
0 715 618
0 342 739
0 505 602
0 988 142
0 128 366
0 766 287
1 228 515
0 501 768
0 981 599
0 73 744
1 664 631
0 488 438
0 420 907
0 252 954
0 483 83
1 98 66
0 104 577
0 333 345
0 356 814
1 484 344
0 75 419
0 657 500
0 439 705
1 633 949
0 819 280
0 701 257
0 369 102
1 629 114
0 790 979
1 61 709
0 959 200
0 820 893
0 598 770
0 166 207
0 801 400
0 312 821
1 598 770
0 583 576
0 786 63
0 865 887
0 329 735
1 745 980
1 871 998
1 679 678
0 262 788
0 435 643
1 918 115
0 724 2
0 466 992
0 490 103
1 202 431
1 262 788
0 521 406
0 308 945
0 473 225
0 114 271
0 452 738
0 916 62
0 391 337
0 11 432
1 473 225
0 28 690
0 806 20
1 420 907
0 797 656
0 705 158
0 842 171
1 860 696
0 605 583
0 228 533
0 586 507
0 529 850
0 739 851
0 402 461
1 601 157
0 626 709
0 200 162
0 427 880
0 132 52
0 24 643
0 293 876
0 600 240
1 402 461
1 652 283
0 895 839
1 897 461
0 886 776
1 771 170
1 723 964
1 252 954
0 176 645
1 674 942
0 928 982
1 370 269
0 610 154
0 173 172
0 118 617
0 427 528
0 23 506
0 566 817
0 440 548
1 646 903
0 815 939
0 799 495
0 576 399
0 795 719
0 667 677
0 20 527
0 896 936
0 928 3
0 768 286
0 462 267
0 106 843
0 968 380
0 779 832
0 571 928
1 293 876
0 162 334
0 300 130
1 657 500
1 146 784
1 718 58
0 469 14
0 925 452
0 434 919
0 657 940
1 14 992
0 358 395
1 928 3
0 499 561
1 312 821
0 680 496
0 702 741
0 179 503
1 705 158
1 279 883
0 615 827
0 408 950
0 835 991
1 813 65
0 964 581
0 341 259
1 385 182
0 198 217
0 107 704
0 943 978
0 175 786
0 649 69
0 369 709
1 887 459
1 43 159
0 245 617
1 600 240
1 615 827
0 779 495
0 445 438
1 669 246
0 302 289
0 709 761
0 125 818
1 39 94
1 797 717
0 958 247
1 974 501
1 329 735
0 992 186
0 625 531
0 791 569
0 921 786
0 217 349
0 932 810
0 943 594
0 579 854
1 886 776
1 175 786
0 691 259
0 79 588
0 66 12
0 940 314
0 791 14
0 900 714
1 300 284
0 330 712
0 11 759
0 827 89
0 459 842
1 327 898
0 731 633
1 353 600
0 10 716
0 762 986
1 392 600
0 119 11
0 363 796
0 162 843
0 678 727
0 997 322
0 415 512
0 539 166
0 907 276
0 44 615
0 979 789
0 927 838
0 297 15
1 339 969
0 809 425
0 689 861
0 588 650
1 856 744
0 518 830
0 30 756
0 39 691
0 294 142
0 306 164
0 180 667
0 757 347
0 970 716
1 575 838
1 303 866
1 546 978
0 832 487
0 549 551
0 413 839
1 320 110
0 592 553
0 536 887
0 492 817
1 947 708
1 363 796
1 832 487
1 937 722
0 962 781
1 709 97
0 920 762
1 588 650
0 25 522
0 976 451
0 520 460
0 238 317
1 291 334
0 323 839
0 999 445
1 45 310
1 868 39
0 306 348
0 107 616
0 35 111
0 909 355
0 153 190
0 681 863
0 468 395
0 847 22
0 173 538
0 984 362
0 405 650
0 395 69
1 967 142
1 308 313
0 248 901
0 37 817
0 699 213
0 397 229
1 464 874
0 612 319
0 371 51
0 715 884
0 164 953
0 406 430
0 289 434
0 24 276
1 650 293
0 885 916
1 959 200
0 895 32
0 418 509
1 399 958
0 418 231
1 675 446
0 455 71
1 266 143
0 437 735
0 636 645
0 576 909
0 310 433
0 762 892
0 84 474
0 753 346
0 702 233
1 265 714
0 557 665
0 234 491
0 353 765
0 865 988
0 608 460
0 288 41
0 228 599
0 383 683
1 382 959
0 812 917
0 974 8
0 417 178
0 571 120
0 615 568
1 809 798
0 464 164
0 394 316
0 1 942
0 2 142
1 748 555
0 686 405
1 609 317
1 701 261
0 391 958
1 462 267
1 490 103
0 766 506
0 268 870
1 724 2
0 217 257
1 549 551
0 601 194
1 958 247
0 558 989
0 549 965
0 699 59
1 690 624
0 742 686
0 671 187
0 969 395
0 417 689
0 43 223
1 268 324
0 348 802
0 449 832
0 53 302
0 936 656
1 820 297
0 400 160
1 822 902
0 371 394
0 95 492
0 258 959
0 768 315
0 599 608
0 60 451
1 391 337
0 881 996
0 607 124
0 516 672
0 19 906
0 266 650
0 962 942
0 505 561
0 402 983
0 753 884
0 316 255
0 808 38
1 132 52
0 804 592
0 499 282
0 464 751
0 806 813
1 498 107
0 738 439
0 994 943
0 576 885
0 522 192
0 426 605
0 278 17
0 699 557
1 436 334
0 298 626
0 216 820
0 562 554
0 238 551
0 158 372
0 457 704
0 736 607
0 394 983
0 310 49
0 733 582
1 415 512
0 940 627
0 678 98
1 55 569
0 984 327
0 853 522
1 469 14
0 420 604
0 279 302
1 607 124
0 616 322
0 24 707
1 297 15
0 661 352
0 841 791
1 310 49
1 338 103
0 195 817
1 348 802
1 422 492
1 222 900
0 594 883
1 779 495
0 562 83
0 325 101
0 939 60
1 72 645
0 69 497
0 913 149
0 794 160
0 305 765
0 989 811
0 56 683
0 764 194
0 756 355
0 559 751
1 418 231
0 385 476
0 885 823
0 111 800
1 395 69
0 741 944
1 356 530
1 610 309
1 152 859
1 419 820
0 804 354
0 217 127
1 10 716
1 765 512
0 528 563
0 560 496
0 365 617
1 299 630
0 52 423
0 382 114
1 107 704
0 611 774
0 111 971
1 30 756
0 590 434
0 570 553
0 1 442
0 798 536
0 439 241
0 401 142
1 24 643
0 349 816
0 196 933
0 173 625
0 564 627
0 359 105
0 710 325
0 780 168
0 610 794
0 136 284
0 203 879
0 369 525
0 421 523
0 976 972
0 631 723
1 983 405
0 198 254
0 87 14
0 593 509
0 283 102
1 238 551
1 342 959
0 236 102
0 999 716
1 922 57
0 29 124
0 344 481
0 59 362
1 631 723
1 305 765
0 772 354
0 640 283
0 54 415
0 912 739
0 534 564
0 602 307
0 459 771
0 526 164
0 528 758
0 801 161
1 521 406
0 13 259
0 314 403
1 904 756
0 272 390
0 345 376
1 307 632
1 245 617
0 15 316
1 830 273
0 699 16
0 800 780
0 242 4
1 699 557
1 155 196
0 619 457
0 618 505
1 988 142
0 547 622
1 943 594
1 715 884
1 786 63
1 52 423
0 583 116
0 818 505
1 87 14
0 429 657
1 881 996
0 316 483
1 405 302
1 427 528
0 10 324
1 571 928
0 880 617
1 79 588
0 955 443
1 457 704
0 576 222
0 899 356
0 96 612
0 511 406
1 200 162
0 73 689
0 986 553
0 664 380
1 128 366
0 649 46
0 110 334
0 407 62
0 79 876
0 897 440
1 940 627
0 61 597
0 288 296
1 417 178
1 162 334
1 54 415
1 617 300
1 294 142
0 65 290
1 689 168
0 998 197
0 691 85
0 20 162
0 721 713
0 376 45
0 593 192
0 704 841
0 634 339
0 414 700
0 360 719
1 927 838
0 22 371
1 949 826
0 930 271
0 888 932
0 127 1
0 175 437
0 700 670
0 620 754
0 712 593
1 316 255
0 669 921
0 561 16
1 104 577
0 143 356
0 176 720
1 75 419
1 916 62
0 97 7
1 306 164
0 445 677
1 753 884
0 508 157
0 730 120
0 180 780
1 15 316
0 458 120
0 17 528
0 952 900
0 641 230
1 620 754
0 639 272
0 778 57
1 586 507
0 490 200
0 15 704
0 758 871
0 546 267
0 31 127
1 435 643
0 670 231
1 865 988
0 68 290
0 209 937
0 783 180
0 900 55
0 525 714
0 599 476
0 709 921
0 757 343
1 942 628
1 797 656
1 180 667
1 656 107
0 75 392
1 583 576
0 753 670
1 818 505
1 508 157
0 712 965
0 897 904
1 499 282
0 228 109
0 829 494
0 793 233
0 547 898
0 706 760
1 618 505
1 989 811
1 39 691
0 368 681
0 33 916
0 531 901
0 38 197
0 929 115
1 405 650
0 581 248
1 601 194
0 908 318
0 872 117
0 405 610
0 713 973
1 680 496
1 827 89
1 731 633
0 990 953
0 74 36
0 991 863
0 382 290
1 908 318
0 998 70
1 686 405
1 736 607
0 14 518
1 930 271
1 56 683
1 314 403
1 928 982
1 84 474
0 404 331
1 130 166
1 29 124
0 847 715
0 919 677
0 115 263
1 74 36
0 157 515
0 539 244
0 174 173
1 69 497
0 802 927
0 76 981
0 199 773
0 261 202
0 294 600
1 577 411
1 236 102
0 240 711
1 835 991
0 566 211
1 649 69
0 963 104
1 427 880
0 518 451
0 652 468
0 286 247
1 715 642
1 981 599
0 583 673
0 452 245
0 726 932
1 356 814
1 764 194
0 932 896
1 929 115
1 66 12
0 589 689
0 182 266
0 890 942
0 785 677
0 559 140
0 880 156
0 889 793
0 231 115
0 356 727
1 426 605
0 838 378
0 275 318
1 238 317
0 696 130
0 825 837
0 686 314
0 893 107
0 473 526
0 440 57
0 630 495
0 311 805
1 342 739
0 936 556
0 106 822
0 231 549
0 930 58
0 83 472
0 850 173
1 22 696
1 579 854
0 173 713
0 902 916
1 940 314
1 229 781
0 791 434
1 799 495
0 954 367
1 880 156
0 70 158
0 237 606
0 335 931
1 445 438
0 622 585
0 630 648
0 121 757
0 79 872
1 11 759
1 302 289
1 709 921
0 379 73
0 224 502
0 399 430
1 766 287
0 331 888
0 515 232
0 275 884
0 435 448
0 245 143
1 483 83
0 446 74
1 294 600
1 994 943
0 147 524
0 308 243
0 6 113
1 30 548
0 450 293
0 353 985
0 593 57
0 108 361
1 20 527
0 392 405
0 65 533
1 394 316
1 224 502
0 9 231
0 539 937
0 992 970
1 250 634
0 509 399
1 635 460
0 438 770
0 939 240
1 455 71
0 391 915
1 293 312
0 859 769
0 924 387
1 187 135
1 806 20
0 744 495
1 73 689
0 608 95
0 382 153
0 196 998
0 643 196
0 901 877
0 96 44
0 837 546
0 545 610
0 431 141
0 810 7
0 868 907
1 708 291
1 466 178
0 456 899
0 714 367
0 591 301
1 323 839
1 525 714
0 810 991
1 108 361
1 359 105
0 986 37
0 958 428
1 785 677
0 372 145
0 368 813
0 46 815
0 200 749
0 172 314
0 138 709
0 102 323
0 473 810
0 65 208
0 716 246
0 594 245
0 577 449
0 177 947
1 456 899
0 94 374
0 566 132
1 625 531
0 244 497
0 159 739
0 891 800
0 70 680
0 687 502
0 73 674
1 198 520
1 792 753
0 823 457
0 513 818
0 701 917
1 173 538
0 695 286
0 637 930
0 859 578
0 9 193
0 588 591
0 154 350
0 240 574
1 515 363
1 970 716
1 920 762
0 766 35
0 822 896
0 633 641
0 439 524
0 969 878
0 521 657
0 889 350
0 47 594
0 572 271
0 546 853
1 841 791
0 410 87
1 581 248
0 457 997
1 521 657
1 968 380
1 677 1
1 744 495
0 881 178
0 600 180
0 650 288
1 729 567
1 65 290
1 133 260
0 733 807
1 186 439
1 310 433
0 133 413
0 326 146
0 541 61
0 448 577
0 35 932
1 546 853
0 890 710
0 912 866
0 132 511
0 88 475
0 170 304
0 810 261
0 396 874
1 440 548
1 949 842
1 573 344
0 411 160
0 136 765
0 255 961
1 657 940
0 782 678
0 822 577
0 700 575
0 750 424
0 989 668
0 210 161
0 728 982
1 804 354
0 578 97
0 551 262
1 650 288
0 37 552
0 15 923
1 573 614
1 369 102
1 505 561
1 57 420
0 635 843
0 180 208
0 338 920
1 741 944
0 144 174
0 95 792
0 376 931
0 846 868
0 739 593
0 91 951
0 709 316
0 10 625
1 217 127
1 689 861
1 738 821
0 196 808
1 298 626
0 184 598
1 536 153
0 37 142
1 279 302
1 668 494
1 713 529
1 648 433
0 861 222
1 522 192
0 871 94
1 18 596
0 102 823
0 142 546
1 991 863
0 741 137
1 716 246
0 660 407
0 73 999
1 53 302
0 325 19
0 310 965
0 23 199
0 129 272
1 977 328
0 866 773
1 723 284
1 663 970
1 865 887
0 618 190
0 948 611
0 306 457
0 536 198
0 44 405
1 338 920
0 241 4
0 6 312
1 361 360
0 943 356
1 778 57
0 591 749
0 178 392
1 690 135
1 278 521
1 511 406
0 895 191
0 864 157
0 860 322
0 943 771
1 473 526
1 943 978
0 564 80
0 422 887
0 42 339
0 218 248
0 503 240
0 691 459
0 110 71
0 469 425
0 355 480
1 17 528
0 218 106
1 537 520
0 374 816
0 965 559
0 121 488
0 209 699
0 861 678
0 54 28
0 557 744
0 596 410
0 29 623
1 581 156
0 234 2
0 422 339
0 944 911
1 166 207
0 255 801
1 999 445
0 671 234
0 322 476
1 780 168
0 472 563
0 847 312
1 11 432
1 31 127
1 173 172
0 115 551
1 420 604
0 569 760
0 422 636
0 557 298
1 125 818
1 793 233
0 815 941
0 629 518
0 828 98
0 680 434
0 817 459
0 389 723
1 13 259
1 773 268
0 775 655
0 41 682
0 843 803
0 177 593
0 192 79
1 547 808
1 237 606
1 706 760
0 16 803
0 260 847
0 35 971
0 345 941
0 453 60
1 334 738
0 472 418
0 899 236
1 612 395
0 701 540
1 210 161
0 318 559
0 41 460
0 1000 583
0 616 632
0 484 152
0 212 708
1 434 919
0 289 314
1 832 598
0 578 95
1 407 62
0 16 849
0 216 82
1 490 200
1 848 649
1 571 120
0 147 928
0 307 550
1 566 817
0 466 951
0 244 275
0 50 452
1 355 480
0 538 450
0 875 371
0 105 915
0 621 628
0 774 901
0 111 643
0 534 670
0 122 945
1 639 272
1 534 741
0 814 410
0 161 333
0 490 334
0 25 417
0 214 401
0 798 878
0 555 445
0 841 318
1 850 977
0 414 711
0 546 46
0 271 139
0 733 63
1 820 893
0 683 655
1 610 118
0 359 557
0 215 336
0 456 318
0 445 434
0 364 335
0 720 891
1 422 887
1 995 29
0 788 594
0 749 231
1 138 535
0 170 221
1 73 999
0 81 244
0 555 155
0 709 665
1 466 992
0 97 567
0 838 993
0 874 962
0 411 835
0 655 972
0 765 732
0 165 681
0 925 478
0 65 995
1 361 800
0 689 926
1 28 690
0 195 731
1 652 468
1 733 807
0 481 539
0 89 107
0 683 829
1 660 407
1 583 673
1 906 199
1 694 428
0 542 746
1 569 760
1 94 374
0 704 973
0 754 357
1 231 115
1 779 594
0 201 725
0 636 762
1 895 191
0 62 250
0 959 323
0 429 537
0 225 433
1 127 1
0 856 197
1 693 46
0 257 287
0 226 781
0 924 722
1 906 479
1 62 250
0 435 405
0 479 417
1 847 312
1 180 675
0 50 842
0 883 502
0 339 368
0 879 115
0 121 222
0 12 281
1 248 901
0 242 90
0 693 205
0 319 924
1 1 942
0 287 220
1 570 553
0 163 429
1 701 257
0 259 384
0 690 1000
0 815 874
0 231 336
1 959 2
0 419 33
0 93 602
0 812 518
1 344 481
0 667 438
1 728 982
0 157 753
1 308 945
0 981 139
0 844 346
1 997 322
0 720 551
0 760 467
1 255 801
1 529 850
0 690 138
1 976 451
0 663 597
0 173 170
1 702 233
0 331 482
0 36 270
0 791 985
0 991 251
0 596 744
0 361 783
1 805 269
0 384 446
0 76 54
0 767 597
0 36 908
0 794 551
1 60 451
0 479 801
0 824 290
1 341 259
0 84 383
0 396 395
1 518 830
0 267 254
1 901 877
0 96 783
0 138 673
0 779 374
0 605 966
0 479 182
0 990 72
0 830 154
1 59 362
0 177 39
1 244 275
0 263 979
0 813 266
0 907 141
1 331 888
0 73 684
0 312 902
0 936 302
1 452 738
0 113 613
0 222 498
1 179 503
0 445 502
0 964 841
0 700 500
0 269 24
1 782 418
1 6 113
0 447 856
1 539 937
0 298 536
0 715 679
0 60 753
1 558 989
0 23 556
0 940 261
0 120 342
0 785 574
0 100 990
0 696 962
0 339 686
0 897 438
0 329 970
0 169 675
1 343 89
0 972 561
0 651 486
0 795 952
0 599 395
1 509 399
0 645 21
0 344 174
0 675 578
0 721 63
1 300 130
0 285 625
1 479 417
0 823 813
0 748 420
0 62 652
0 464 21
0 293 274
0 475 174
0 984 673
0 759 926
0 212 128
0 7 771
1 605 583
0 144 977
0 163 52
1 438 770
1 9 193
1 715 679
0 231 461
0 317 367
1 801 400
1 812 518
0 256 791
1 815 874
0 972 237
0 109 45
1 790 979
0 75 727
1 111 971
1 528 758
0 327 197
0 496 69
0 39 426
0 316 173
1 686 314
0 845 93
0 133 216
0 876 189
0 562 441
0 672 269
0 970 337
0 718 702
0 996 495
1 344 174
1 536 887
1 218 106
1 143 356
1 879 115
0 680 950
1 925 452
0 766 558
1 822 577
0 948 831
0 187 146
0 888 961
1 177 14
1 360 719
0 544 300
1 25 522
1 812 917
0 49 912
0 539 73
0 20 268
0 182 478
0 852 264
0 470 17
1 448 577
0 168 122
0 454 198
0 505 895
0 469 539
0 847 826
0 277 672
0 772 617
0 687 490
0 844 518
0 430 594
0 404 485
0 571 141
0 527 996
0 760 739
0 103 845
1 176 720
0 211 692
0 479 631
1 311 805
0 155 850
0 88 111
0 418 730
0 477 661
0 182 717
0 522 606
0 694 527
0 20 776
0 237 635
1 984 327
0 169 664
0 709 927
0 203 798
0 214 981
0 751 215
0 530 571
0 163 536
1 10 625
1 593 192
0 101 640
0 840 924
0 212 237
0 305 603
0 962 257
0 119 318
0 153 922
1 172 665
0 166 765
1 986 553
0 415 174
0 692 650
1 578 97
1 228 109
0 811 174
0 328 232
0 537 34
0 858 188
0 830 693
1 298 536
0 661 50
0 129 40
0 104 492
0 234 356
0 667 476
1 594 883
0 46 449
1 23 506
0 18 986
0 20 21
0 315 566
0 335 649
1 149 460
1 801 161
